No.,E_multiplier,p,K,Total Distance
1,1.1500000000000001,75.25286222222223,17.100257214798127,0.04999999999999995
2,1.1500000000000001,75.25286222222223,17.025237646319024,0.051083808461956065
3,1.1500000000000001,75.25286222222223,16.75415174351653,0.054404581770846026
4,1.1500000000000001,75.25286222222223,16.09610258760846,0.06041287921543995
5,1.1500000000000001,75.25286222222223,14.817510640820021,0.07006703928285653
6,1.1500000000000001,75.25286222222223,12.58713549497834,0.0851699457273791
7,1.7000000000000002,75.25286222222223,21.149082759195696,0.1090486385053816
8,1.7000000000000002,75.25286222222223,15.247113372501257,0.14840219236805388
9,2.25,75.25286222222223,17.322748611103496,0.2174565930709502
10,2.8,75.25286222222223,13.08041700442594,0.34969144010408554
11,1.7000000000000002,1.33322,10.584458035161322,0.6369723932777153
12,1.1500000000000001,1.33322,14.841494413671365,1.3967592035880676
13,1.1500000000000001,1.33322,13.057016377011744,4.297409327479564
